permno,ticker,comnam,rtype,ptype,psub,date,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta
10952,CDR,CEDAR SHOPPING CENTERS INC,2.0,4.0,4.0,1986-12-31,1986-12-31,1986m12,,8.75,12.6,,,,,,,,,,
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2003-10-31,2003-10-31,2003m10,-0.4846,11.52,166.24513,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151001,0.017546379512260044,-0.2216854412008773
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2003-11-28,2003-11-28,2003m11,0.0217,11.77,169.85287,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151001,0.017173686670379353,-0.2765084716290056
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2003-12-31,2003-12-31,2003m12,0.0552,12.42,179.23302,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151001,0.016274903625027832,-0.2714460887773969
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-01-30,2004-01-30,2004m1,0.0628,13.2,190.4892,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151001,0.014436513751156534,-0.2397041964903865
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-02-27,2004-02-27,2004m2,0.0417,13.59,196.1173,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151001,0.014022220596902384,-0.2510752873656626
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-03-31,2004-03-31,2004m3,0.0442,14.19,204.77588,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151001,0.013429315296553763,-0.256402443612834
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-04-30,2004-04-30,2004m4,-0.179,11.65,191.71239,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.1442218798151001,0.7884101519055241,-0.2067948282200107
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-05-28,2004-05-28,2004m5,-0.0202,11.19,184.14264,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.1442218798151001,0.8208201777851403,-0.2017231550284642
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-06-30,2004-06-30,2004m6,0.0268,11.49,189.07944,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.1412588985629978,0.7993888547247089,-0.2044198025701493
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-07-30,2004-07-30,2004m7,0.0766,12.37,203.56071,388.691,32.497,-19.809,149.492,0.5225385,0.026476044,-0.005925015,-0.1412588985629978,0.73438532382767,-0.2168411272157256
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-08-31,2004-08-31,2004m8,0.1136,13.55,222.9788,388.691,32.497,-19.809,149.492,0.5225385,0.026476044,-0.005925015,-0.1412588985629978,0.6704314781175109,-0.2301507310973861
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-09-30,2004-09-30,2004m9,0.0295,13.95,229.5612,388.691,32.497,-19.809,149.492,0.5225385,0.026476044,-0.005925015,-0.1412588985629978,0.6512076186036125,-0.2243063083141526
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-10-29,2004-10-29,2004m10,-0.0301,13.53,222.64967,414.546,39.026,-17.866,148.494,0.5404684,0.024489442,0.0060258694,-0.1412588985629978,0.6669401397662623,-0.2348760598824236
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-11-30,2004-11-30,2004m11,0.0218,13.6,223.8016,414.546,39.026,-17.866,148.494,0.5404684,0.024489442,0.0060258694,-0.1412588985629978,0.6635073076284073,-0.2674175349356349
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2004-12-31,2004-12-31,2004m12,0.0515,14.3,235.3208,414.546,39.026,-17.866,148.494,0.5404684,0.024489442,0.0060258694,-0.1412588985629978,0.6310279637502726,-0.3444414977055909
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-01-31,2005-01-31,2005m1,-0.0343,13.81,227.25737,422.917,44.818,-16.43,143.619,0.41982704,0.031533375,0.013333585,-0.1412588985629978,0.631966347206877,-0.327613304314918
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-02-28,2005-02-28,2005m2,0.0503,14.28,234.99167,422.917,44.818,-16.43,143.619,0.41982704,0.031533375,0.013333585,-0.1412588985629978,0.6111663538315311,-0.3512049622770294
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-03-31,2005-03-31,2005m3,-0.0028,14.24,275.55823,422.917,44.818,-16.43,143.619,0.41982704,0.031533375,0.013333585,-0.1412588985629978,0.5211928994900296,-0.3462328944533523
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-04-29,2005-04-29,2005m4,-0.0309,13.8,303.255,537.16,51.144,5.702,177.004,0.46286023,0.017964853,0.035993,-0.1412588985629978,0.5836803937370674,-0.4546932160118818
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-05-31,2005-05-31,2005m5,-0.0033,13.53,302.2737,537.16,51.144,5.702,177.004,0.46286023,0.017964853,0.035993,-0.1412588985629978,0.5855752147603988,-0.5052827792986061
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-06-30,2005-06-30,2005m6,0.0902,14.75,329.52975,537.16,51.144,5.702,177.004,0.46286023,0.017964853,0.035993,0.032213961266412,0.5371411770947369,-0.5279255091487003
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-07-29,2005-07-29,2005m7,0.0454,15.42,344.49823,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5090244074985748,-0.5192324665230797
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-08-31,2005-08-31,2005m8,-0.0334,14.68,328.06863,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5345161703045509,-0.5027513633255966
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-09-30,2005-09-30,2005m9,-0.0143,14.47,323.37558,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5422735111871182,-0.5084057177228747
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-10-31,2005-10-31,2005m10,-0.0311,14.02,313.31897,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.6746862441831695,-0.5551765195822356
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-11-30,2005-11-30,2005m11,-0.0032,13.75,391.99875,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.5392670213642661,-0.6427641260802527
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-12-30,2005-12-30,2005m12,0.0233,14.07,401.1216,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.5270022484851461,-0.6840046947110459
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-01-31,2006-01-31,2006m1,0.0512,14.79,421.6481,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6936874818015157,-0.813016186631121
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-02-28,2006-02-28,2006m2,0.0436,15.21,433.6219,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6745323522922404,-0.8221413340774482
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-03-31,2006-03-31,2006m3,0.0414,15.84,474.77234,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6160679481378376,-0.8216971235124013
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-04-28,2006-04-28,2006m4,-0.0688,14.75,441.615,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.032213961266412,0.6847254050827644,-0.7100698887402437
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-05-31,2006-05-31,2006m5,0.001,14.54,443.35367,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.032213961266412,0.6820401370082774,-0.7721337292060055
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-06-30,2006-06-30,2006m6,0.0124,14.72,448.84225,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.0436959505266464,0.6736999686763556,-0.7634504128253409
